trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.02, 'e': 0.6838614092123558}",20,0,-127.00066260359971,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.02, 'e': 0.6703200460356393}",35,13,-65.53936555639096,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
21,False,"{'a': 0.02, 'e': 0.6570468198150567}",25,0,-72.88805520216643,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.02, 'e': 0.6440364210831414}",20,15,-11.395843672970488,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.02, 'e': 0.631283645506926}",30,0,-97.38260321795326,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
24,False,"{'a': 0.02, 'e': 0.6187833918061408}",30,0,-111.0784496897829,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
25,False,"{'a': 0.02, 'e': 0.6065306597126334}",25,12,-26.13659479097468,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.02, 'e': 0.5945205479701944}",30,13,-31.59633041055662,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.02, 'e': 0.5827482523739896}",30,16,4.721854128202739,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.02, 'e': 0.5712090638488149}",30,0,-76.26923422518051,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.02, 'e': 0.559898366565402}",20,0,-61.34452100837089,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.02, 'e': 0.5488116360940265}",35,11,-116.61753208583715,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 2}",1
31,False,"{'a': 0.02, 'e': 0.5379444375946745}",30,0,-51.49767900834694,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.02, 'e': 0.5272924240430485}",30,0,-70.41280166600131,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.02, 'e': 0.5168513344916992}",25,1,-53.87637698866901,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 1}",1
34,False,"{'a': 0.02, 'e': 0.5066169923655895}",30,0,-21.595244603666202,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.02, 'e': 0.49658530379140947}",25,0,-76.01329413879306,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.02, 'e': 0.4867522559599717}",25,0,-77.86463938644242,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.02, 'e': 0.4771139155210344}",30,2,-26.060456544963927,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 0}",1
38,False,"{'a': 0.02, 'e': 0.46766642700990924}",20,0,-64.69966647353309,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.02, 'e': 0.4584060113052235}",25,0,-65.6745685911501,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
40,False,"{'a': 0.02, 'e': 0.44932896411722156}",25,0,-20.027027352444932,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.02, 'e': 0.44043165450599925}",25,0,-63.868639495641645,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.02, 'e': 0.43171052342907973}",25,10,3.975367014946031,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.02, 'e': 0.4231620823177488}",20,0,-38.400968065345,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
